date,year,price
2025-01,2020,1600
2025-02,2020,1550
2025-03,2020,1480
2025-04,2020,1420
2020-05,2020,1450
2025-06,2020,1520
2025-07,2020,1580
2020-08,2020,1650
2025-09,2020,1720
2020-10,2020,1850
2025-11,2020,1920
2020-12,2020,2000
2025-01,2021,2100
2025-02,2021,2250
2025-03,2021,2400
2025-04,2021,2500
2021-05,2021,2600
2025-06,2021,2680
2025-07,2021,2750
2021-08,2021,2820
2025-09,2021,2900
2021-10,2021,2950
2025-11,2021,3000
2021-12,2021,3100
2025-01,2022,3200
2025-02,2022,3350
2025-03,2022,3450
2025-04,2022,3500
2022-05,2022,3520
2025-06,2022,3480
2025-07,2022,3420
2022-08,2022,3350
2025-09,2022,3280
2022-10,2022,3200
2025-11,2022,3150
2022-12,2022,3100
2025-01,2023,3000
2025-02,2023,2900
2025-03,2023,2705
2025-04,2023,2650
2023-05,2023,2600
2025-06,2023,2245
2025-07,2023,2100
2023-08,2023,1631
2025-09,2023,1750
2023-10,2023,1850
2025-11,2023,2000
2023-12,2023,2150
2025-01,2024,2250
2025-02,2024,2350
2025-03,2024,2450
2025-04,2024,2550
2024-05,2024,2650
2025-06,2024,2932
2025-07,2024,2850
2024-08,2024,2750
2025-09,2024,2815
2024-10,2024,2976
2025-11,2024,3479
2024-12,2024,3799
2025-01,2025,3550
2025-02,2025,3600
2025-03,2025,3677
2025-04,2025,3560
2025-05,2025,3557
2025-06,2025,3580
2025-07,2025,3620
2025-08,2025,3435
2025-09,2025,3500
2025-10,2025,3560
